Preprocessing,Silhouette,Calinski-Harabasz,Davies-Bouldin
Original,0.6151851692094078,6340.533053834897,0.5166321190498575
Normalized,0.5280666658910678,2276.186325104491,0.8572703949353961
Transformed,0.6866509823471888,6475.972028340145,0.5082404757093334
Normalized + Transformed,0.6866509823471887,6475.972028340145,0.5082404757093334
Normalized + Transformed + PCA,0.6866509823462813,6475.9720283401575,0.5082404757093311
